step	elapsed_tokens	elapsed_examples	training_loss	training_sequence_accuracy	training_token_accuracy
1	420	4	0.5444492750355635	0.0	0.21428571428571427
2	840	8	0.49012136037539117	0.0	0.08333333333333333
3	1036	12	0.8998743203636227	0.0	0.0
4	1648	16	0.33484912004630657	0.0	0.15
5	2036	20	0.3516044537106063	0.0	0.1111111111111111
6	2328	24	0.5003889118865164	0.0	0.07692307692307693
7	2588	28	0.4176762192717706	0.0	0.2
8	2944	32	0.3393061733848166	0.0	0.25
9	3204	36	0.3232605728747148	0.0	0.09090909090909091
10	3432	40	0.29409557943910064	0.0	0.2222222222222222
11	3724	44	0.1886068199641563	0.0	0.125
12	4016	48	0.16962626304943113	0.0	0.4
13	4468	52	0.07774803259817419	0.0	0.5
14	4632	56	0.37513448137359223	0.0	0.3333333333333333
15	4924	60	0.09677295755659643	0.0	0.5454545454545454
16	5152	64	0.10367316144984216	0.0	0.4444444444444444
17	5412	68	0.12922476697624463	0.25	0.5
18	5864	72	0.11493033135376339	0.25	0.55
19	6476	76	0.056686339798941755	0.25	0.5555555555555556
20	6640	80	0.14779214883688835	0.25	0.4444444444444444
21	6964	84	0.16868617378457568	0.0	0.25
22	7288	88	0.10250749751342665	0.0	0.5
23	7548	92	0.14502142919052857	0.0	0.4166666666666667
24	7840	96	0.07818848080692989	0.25	0.5833333333333334
25	8100	100	0.07772799115511589	0.5	0.7272727272727273
26	8424	104	0.09726841176906602	0.25	0.6
27	8748	108	0.057516929644276384	0.75	0.8888888888888888
28	9104	112	0.068373428563338	0.0	0.6666666666666666
29	9396	116	0.1381807689333396	0.0	0.625
30	9560	120	0.14542202270694543	0.25	0.6923076923076923
31	9820	124	0.16697468855784792	0.0	0.5
32	10080	128	0.052459392093410315	0.25	0.625
33	10372	132	0.050287290506999455	0.5	0.8
34	10632	136	0.0817032493201259	0.25	0.6153846153846154
35	10860	140	0.08172670178315976	0.5	0.8333333333333334
36	11120	144	0.08261502299305903	0.25	0.7857142857142857
37	11284	148	0.12291513088898501	0.25	0.7692307692307693
38	11416	152	0.12981702867211425	0.5	0.6363636363636364
39	11676	156	0.05917898616407001	0.5	0.6666666666666666
40	11904	160	0.07354955299370755	0.25	0.625
41	12324	164	0.05753871463631115	0.25	0.7222222222222222
42	12584	168	0.053970934500848666	0.75	0.875
43	12812	172	0.06645516758071608	0.5	0.7
44	13104	176	0.030054716127221277	1.0	1.0
45	13300	180	0.05345197231307491	0.5	0.75
46	13720	184	0.03955293917360485	0.5	0.7272727272727273
47	13948	188	0.1429540510095051	0.5	0.5333333333333333
48	14208	192	0.09381235650131203	0.25	0.5833333333333334
49	14692	196	0.04621061928180218	0.75	0.75
50	14920	200	0.04763210509799787	1.0	1.0
51	15116	204	0.12838943338839573	0.5	0.75
52	15536	208	0.06434630746531184	0.25	0.782608695652174
53	15732	212	0.10154835183978624	0.25	0.5384615384615384
54	15928	216	0.060768281494893016	0.5	0.7
55	16156	220	0.12749044845797472	0.25	0.6875
56	16416	224	0.043079509580618375	1.0	1.0
57	16740	228	0.059387522130451544	0.5	0.75
58	17064	232	0.028017817416781325	1.0	1.0
59	17356	236	0.06720696645268617	0.5	0.6363636363636364
60	17584	240	0.05068369211566669	0.75	0.8
61	17908	244	0.029001350338352494	1.0	1.0
62	18296	248	0.04358870919839925	0.5	0.6666666666666666
63	18556	252	0.05920128419680623	0.5	0.7777777777777778
64	18848	256	0.08060209725505502	0.5	0.6666666666666666
65	19108	260	0.06649669925071067	0.5	0.6363636363636364
66	19432	264	0.0469786206793724	0.75	0.75
67	19628	268	0.07225413693037505	0.5	0.75
68	19792	272	0.07866145068066908	0.0	0.6666666666666666
69	19988	276	0.08173370991364208	0.25	0.5
70	20184	280	0.04350834996491662	0.75	0.875
71	20412	284	0.038791502743032266	0.75	0.875
72	20608	288	0.09154441369212386	0.75	0.7647058823529411
73	21060	292	0.02267492345742799	0.75	0.875
74	21320	296	0.06429814486074975	0.75	0.8181818181818182
75	21484	300	0.041508660433522894	1.0	1.0
76	21744	304	0.05032779889871336	0.75	0.9090909090909091
77	21972	308	0.05920226372411501	0.5	0.7777777777777778
78	22200	312	0.17991809654346852	0.5	0.6470588235294118
